id,trip_id,stop_number,nass_code,facility,arrive_time,load_unload,depart_time,vehicle,freq,freq_days,eff_date,exp_date,trip_miles,trip_hrs,drive_time
116,1025,2,03446,SWANZEY,05:37:00 ET,9 min,05:46:00 ET,,,0.0,0,,0.0,0.0,0.0
117,1025,3,03470,WINCHESTER,06:03:00 ET,9 min,06:12:00 ET,,,0.0,0,,0.0,0.0,0.0
118,1025,4,03451,HINSDALE,06:22:00 ET,6 min,06:28:00 ET,,,0.0,0,,0.0,0.0,0.0
119,1026,1,03451,HINSDALE,06:28:00 ET,6 min,06:34:00 ET,24LG,,0.0,0,,19.1,0.78,0.43
120,1026,2,03431,KEENE,07:00:00 ET,15 min,07:15:00 ET,,,0.0,0,,0.0,0.0,0.0
121,1027,1,03431,KEENE,07:16:00 ET,15 min,07:31:00 ET,24LG,,0.0,0,,26.0,1.60,0.60
122,1027,2,03446,SWANZEY,07:35:00 ET,9 min,07:44:00 ET,,,0.0,0,,0.0,0.0,0.0
123,1027,3,03469,WEST SWANZEY,07:52:00 ET,9 min,08:01:00 ET,,,0.0,0,,0.0,0.0,0.0
124,1027,4,03470,WINCHESTER,08:10:00 ET,9 min,08:19:00 ET,,,0.0,0,,0.0,0.0,0.0
125,1027,5,03451,HINSDALE,08:29:00 ET,9 min,08:38:00 ET,,,0.0,0,,0.0,0.0,0.0
126,1027,6,03441,ASHUELOT,08:43:00 ET,9 min,08:52:00 ET,,,0.0,0,,0.0,0.0,0.0
127,1028,1,03441,ASHUELOT,08:53:00 ET,6 min,08:59:00 ET,24VN,K7,303.0,12/06/2024,06/30/2026,,,,
128,1028,2,03431,KEENE,09:25:00 ET,15 min,09:40:00 ET,,,0.0,0,,15.6,0.78,0.43
129,1029,1,03431,KEENE,09:40:00 ET,15 min,09:55:00 ET,24VN,K7,303.0,12/06/2024,06/30/2026,,,,
130,1029,2,03465,TROY,10:12:00 ET,9 min,10:21:00 ET,,,0.0,0,,15.8,1.03,0.48
131,1029,3,03455,MARLBOROUGH,10:33:00 ET,9 min,10:42:00 ET,,,0.0,0,,0.0,0.0,0.0
132,1030,1,03455,MARLBOROUGH,10:43:00 ET,6 min,10:49:00 ET,24VN,K7,303.0,12/06/2024,06/30/2026,,,,
133,1030,2,03431,KEENE,10:56:00 ET,15 min,11:11:00 ET,,,0.0,0,,4.3,0.47,0.12
134,1031,1,03431,KEENE,12:00:00 ET,15 min,12:15:00 ET,24VN,K67,251.0,12/06/2024,06/30/2026,,,,
